Nested Sampling Global Log-Evidence           :   -0.432170050639827874E+01  +/-    0.514778208258927436E-01
Nested Importance Sampling Global Log-Evidence:   -0.480344655624874584E+01  +/-    0.282899051250449576E-01

Dim No.       Mean        Sigma
   1    0.668963822585273959E+02    0.420888617147572575E+01
   2   -0.899466484601292748E+00    0.215242490556350030E+00
   3    0.956702239204655469E+00    0.204476629811329164E-01
   4    0.809787989486827176E+00    0.117666821379742159E+00
   5    0.312269929544019498E+00    0.321611272346629951E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.642903338751944347E+02
   2   -0.601879207439322217E+00
   3    0.994972835039186321E+00
   4    0.715264332741124442E+00
   5    0.339652608156886138E+00

MAP Parameters
Dim No.        Parameter
   1    0.732378093657438143E+02
   2   -0.114090032635596716E+01
   3    0.923489771298032780E+00
   4    0.782958804783903006E+00
   5    0.286226525942126997E+00
