Nested Sampling Global Log-Evidence           :   -0.100006667985689237E+02  +/-    0.111487330505431900E+00
Nested Importance Sampling Global Log-Evidence:   -0.101537125259759247E+02  +/-    0.153441078409072146E-01

Dim No.       Mean        Sigma
   1    0.680021853029695649E+02    0.105531464065215630E+01
   2   -0.100319512440085479E+01    0.555516646420724097E-01
   3    0.960045892711205551E+00    0.563162742359321275E-02
   4    0.799450468551212823E+00    0.281053660375993018E-01
   5    0.309877536903247763E+00    0.694684854345037871E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.680220119477550185E+02
   2   -0.100013905343623288E+01
   3    0.959187212740952200E+00
   4    0.802605770345957481E+00
   5    0.310629627149466347E+00

MAP Parameters
Dim No.        Parameter
   1    0.680220119477550185E+02
   2   -0.100013905343623288E+01
   3    0.959187212740952200E+00
   4    0.802605770345957481E+00
   5    0.310629627149466347E+00
